,Date,Open,High,Low,Close,Adj Close,Volume,sma20,sma100,sma200,bb_bbh,bb_bbl,sma_100_200_diff,bb_diff,sma_100_200_diff_buy,sma_100_200_diff_sell,bb_diff_buy,bb_diff_sell,sma_100_buy,sma_100_sell,sma_200_buy,sma_200_sell,sma_100_bb_bbh_buy,sma_200_bb_bbh_buy,sma_100_bb_bbl_sell,sma_200_bb_bbl_sell,BUY_SELL_FLAG,BUY_SELL_SIGNAL
0,2020-12-01,19633.769531,19845.974609,18321.921875,18802.998047,18802.998047,49633658712,18802.998047,18802.998047,18802.998047,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
1,2020-12-02,18801.744141,19308.330078,18347.71875,19201.091797,19201.091797,37387697139,19002.044922,19002.044922,19002.044922,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,1,1,_,-
2,2020-12-03,19205.925781,19566.191406,18925.785156,19445.398438,19445.398438,31930317405,19149.829427333334,19149.829427333334,19149.829427333334,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,1,1,_,-
3,2020-12-04,19446.966797,19511.404297,18697.193359,18699.765625,18699.765625,33872388058,19037.31347675,19037.31347675,19037.31347675,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,1,1,1,_,-
4,2020-12-05,18698.384766,19160.449219,18590.193359,19154.230469,19154.230469,27242455064,19060.696875200003,19060.696875200003,19060.696875200003,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,1,1,_,-
5,2020-12-06,19154.179688,19390.5,18897.894531,19345.121094,19345.121094,25293775714,19108.100911666665,19108.100911666665,19108.100911666665,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,1,1,_,-
6,2020-12-07,19343.128906,19411.828125,18931.142578,19191.630859,19191.630859,26896357742,19120.033761285715,19120.033761285715,19120.033761285715,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,1,1,_,-
7,2020-12-08,19191.529297,19283.478516,18269.945313,18321.144531,18321.144531,31692288756,19020.1726075,19020.1726075,19020.1726075,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,1,1,1,_,-
8,2020-12-09,18320.884766,18626.292969,17935.546875,18553.916016,18553.916016,34420373071,18968.366319555556,18968.366319555556,18968.366319555556,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,1,1,1,_,-
9,2020-12-10,18553.298828,18553.298828,17957.064453,18264.992188,18264.992188,25547132265,18898.028906400003,18898.028906400003,18898.028906400003,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,1,1,1,_,-
10,2020-12-11,18263.929688,18268.453125,17619.533203,18058.904297,18058.904297,27919640985,18821.744851,18821.744851,18821.744851,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,1,1,1,_,-
11,2020-12-12,18051.320313,18919.550781,18046.041016,18803.65625,18803.65625,21752580802,18820.237467583334,18820.237467583334,18820.237467583334,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,1,1,1,_,-
12,2020-12-13,18806.765625,19381.535156,18734.332031,19142.382813,19142.382813,25450468637,18845.01787876923,18845.01787876923,18845.01787876923,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,1,1,_,-
13,2020-12-14,19144.492188,19305.099609,19012.708984,19246.644531,19246.644531,22473997681,18873.705496785715,18873.705496785715,18873.705496785715,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,1,1,_,-
14,2020-12-15,19246.919922,19525.007813,19079.841797,19417.076172,19417.076172,26741982541,18909.930208466667,18909.930208466667,18909.930208466667,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,1,1,_,-
15,2020-12-16,19418.818359,21458.908203,19298.316406,21310.597656,21310.597656,44409011479,19059.9719239375,19059.9719239375,19059.9719239375,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,1,1,_,-
16,2020-12-17,21308.351563,23642.660156,21234.675781,22805.162109,22805.162109,71378606374,19280.277228941177,19280.277228941177,19280.277228941177,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,1,1,_,-
17,2020-12-18,22806.796875,23238.601563,22399.8125,23137.960938,23137.960938,40387896275,19494.592990555553,19494.592990555553,19494.592990555553,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,1,1,_,-
18,2020-12-19,23132.865234,24085.855469,22826.472656,23869.832031,23869.832031,38487546580,19724.868729526315,19724.868729526315,19724.868729526315,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,1,1,1,1,_,-
19,2020-12-20,23861.765625,24209.660156,23147.710938,23477.294922,23477.294922,37844228422,19912.49003915,19912.49003915,19912.49003915,23572.442020088652,16252.538058211352,0.0,7319.9039618773,0,0,1,0,1,0,1,0,0,0,1,1,_,-
20,2020-12-21,23474.455078,24059.982422,22159.367188,22803.082031,22803.082031,45852713981,20112.494238350002,20050.137276857142,20050.137276857142,23941.351992370997,16283.636484329007,0.0,7657.715508041991,0,0,1,0,1,0,1,0,1,1,1,1,_,-
21,2020-12-22,22794.039063,23789.902344,22430.605469,23783.029297,23783.029297,44171632681,20341.591113349998,20219.814186863638,20219.814186863638,24462.106230337635,16221.07599636236,0.0,8241.030233975274,0,0,1,0,1,0,1,0,1,1,1,1,_,-
22,2020-12-23,23781.974609,24024.490234,22802.646484,23241.345703,23241.345703,51146161904,20531.3884766,20351.185122347826,20351.185122347826,24815.736238711066,16247.040714488936,0.0,8568.69552422213,0,0,1,0,1,0,1,0,1,1,1,1,_,-
23,2020-12-24,23240.203125,23768.337891,22777.597656,23735.949219,23735.949219,41080759713,20783.1976563,20492.216959708334,20492.216959708334,25197.365499849555,16369.029812750443,0.0,8828.335687099112,0,0,1,0,1,0,1,0,1,1,1,1,_,-
24,2020-12-25,23733.570313,24710.101563,23463.673828,24664.791016,24664.791016,42068395846,21058.72568365,20659.11992196,20659.11992196,25713.1710381642,16404.280329135796,0.0,9308.890709028405,0,0,1,0,1,0,1,0,1,1,1,1,_,-
25,2020-12-26,24677.015625,26718.070313,24522.689453,26437.037109,26437.037109,48332647295,21413.3214844,20881.34750607692,20881.34750607692,26547.410249721153,16279.232719078846,0.0,10268.177530642308,0,0,1,0,1,0,1,0,1,1,1,1,_,-
26,2020-12-27,26439.373047,28288.839844,25922.769531,26272.294922,26272.294922,66479895605,21767.35468755,21081.012225185186,21081.012225185186,27207.23080203356,16327.47857306644,0.0,10879.752228967118,0,0,1,0,1,0,1,0,1,1,1,1,_,-
27,2020-12-28,26280.822266,27389.111328,26207.640625,27084.808594,27084.808594,49056742893,22205.5378907,21295.43352407143,21295.43352407143,27871.57922338193,16539.496558018072,0.0,11332.082665363858,0,0,1,0,1,0,1,0,1,1,1,1,_,-
28,2020-12-29,27081.810547,27370.720703,25987.298828,27362.4375,27362.4375,45265946774,22645.9639649,21504.64055772414,21504.64055772414,28475.198745661648,16816.72918413835,0.0,11658.4695615233,0,0,1,0,1,0,1,0,1,1,1,1,_,-
29,2020-12-30,27360.089844,28937.740234,27360.089844,28840.953125,28840.953125,51287442704,23174.762011749997,21749.18430996667,21749.18430996667,29232.68773171259,17116.836291787404,0.0,12115.851439925187,0,0,1,0,1,0,1,0,1,1,1,1,_,-
30,2020-12-31,28841.574219,29244.876953,28201.992188,29001.720703,29001.720703,46754964848,23721.90283205,21983.13709683871,21983.13709683871,29809.37367025723,17634.43199384277,0.0,12174.941676414463,0,0,1,0,1,0,1,0,1,1,1,1,_,-
31,2021-01-01,28994.009766,29600.626953,28803.585938,29374.152344,29374.152344,40730301359,24250.427636750002,22214.1063233125,22214.1063233125,30373.474455939715,18127.38081756029,0.0,12246.093638379425,0,0,1,0,1,0,1,0,1,1,1,1,_,-
32,2021-01-02,29376.455078,33155.117188,29091.181641,32127.267578,32127.267578,67865420765,24899.671875,22514.505149212124,22514.505149212124,31456.815089396983,18342.528660603017,0.0,13114.286428793966,0,0,1,0,1,0,1,0,1,1,1,1,_,-
33,2021-01-03,32129.408203,34608.558594,32052.316406,32782.023438,32782.023438,78665235202,25576.44082035,22816.490981235296,22816.490981235296,32446.594524212465,18706.287116487532,0.0,13740.307407724933,0,0,1,0,1,0,1,0,1,1,1,1,_,-
34,2021-01-04,32810.949219,33440.21875,28722.755859,31971.914063,31971.914063,81163475344,26204.1827149,23078.074497857146,23078.074497857146,33002.39081668859,19405.974613111408,0.0,13596.41620357718,0,0,1,0,1,0,1,0,1,1,1,1,_,-
35,2021-01-05,31977.041016,34437.589844,30221.1875,33992.429688,33992.429688,67547324782,26838.2743165,23381.251030916665,23381.251030916665,34045.85837743247,19630.69025556753,0.0,14415.168121864943,0,0,1,0,1,0,1,0,1,1,1,1,_,-
36,2021-01-06,34013.613281,36879.699219,33514.035156,36824.363281,36824.363281,75289433811,27539.2343751,23744.57838902703,23744.57838902703,35704.71560562906,19373.75314457094,0.0,16330.962461058123,0,0,1,0,1,0,1,0,1,1,1,1,_,-
37,2021-01-07,36833.875,40180.367188,36491.191406,39371.042969,39371.042969,84762141031,28350.888476649998,24155.80114113158,24155.80114113158,37740.45990194857,18961.317051351427,0.0,18779.14285059714,0,0,1,0,1,0,1,0,1,1,1,1,_,-
