Date,Open,High,Low,Close,Change(Pips),Change(%)
02/01/2022 21:00,114.688,114.715,114.666,114.707,1.9,0.02
02/01/2022 21:15,114.702,114.716,114.669,114.68,-2.2,-0.02
02/01/2022 21:30,114.682,114.702,114.679,114.683,0.1,0
02/01/2022 21:45,114.685,114.701,114.683,114.687,0.2,0
02/01/2022 22:00,114.661,114.677,114.642,114.642,-1.9,-0.02
02/01/2022 22:15,114.643,114.65,114.643,114.644,0.1,0
02/01/2022 22:30,114.643,114.694,114.643,114.694,5.1,0.04
02/01/2022 22:45,114.697,114.699,114.691,114.691,-0.6,-0.01
02/01/2022 23:00,114.694,114.727,114.694,114.727,3.3,0.03
02/01/2022 23:15,114.725,114.738,114.711,114.73,0.5,0
02/01/2022 23:30,114.728,114.741,114.723,114.733,0.5,0
02/01/2022 23:45,114.733,114.745,114.72,114.736,0.3,0
02/02/2022 00:00,114.739,114.745,114.678,114.72,-1.9,-0.02
02/02/2022 00:15,114.72,114.786,114.719,114.783,6.3,0.05
02/02/2022 00:30,114.783,114.783,114.73,114.732,-5.1,-0.04
02/02/2022 00:45,114.728,114.745,114.664,114.683,-4.5,-0.04
02/02/2022 01:00,114.681,114.685,114.647,114.685,0.4,0
02/02/2022 01:15,114.688,114.694,114.656,114.667,-2.1,-0.02
02/02/2022 01:30,114.668,114.693,114.662,114.688,2,0.02
02/02/2022 01:45,114.688,114.7,114.662,114.7,1.2,0.01
02/02/2022 02:00,114.696,114.739,114.688,114.727,3.1,0.03
02/02/2022 02:15,114.729,114.744,114.725,114.74,1.1,0.01
02/02/2022 02:30,114.745,114.749,114.721,114.727,-1.8,-0.02
02/02/2022 02:45,114.727,114.728,114.705,114.716,-1.1,-0.01
02/02/2022 03:00,114.712,114.743,114.708,114.738,2.6,0.02
02/02/2022 03:15,114.737,114.757,114.718,114.751,1.4,0.01
02/02/2022 03:30,114.75,114.782,114.747,114.771,2.1,0.02
02/02/2022 03:45,114.776,114.804,114.767,114.797,2.1,0.02
