Date,Open,High,Low,Close,Change(Pips),Change(%)
03/04/2022 10:30,115.401,115.402,115.375,115.387,-1.4,-0.01
03/04/2022 10:35,115.389,115.398,115.376,115.376,-1.3,-0.01
03/04/2022 10:40,115.378,115.398,115.359,115.389,1.1,0.01
03/04/2022 10:45,115.389,115.402,115.377,115.4,1.1,0.01
03/04/2022 10:50,115.398,115.399,115.371,115.376,-2.2,-0.02
03/04/2022 10:55,115.378,115.382,115.341,115.343,-3.5,-0.03
03/04/2022 11:00,115.344,115.36,115.344,115.358,1.4,0.01
03/04/2022 11:05,115.356,115.379,115.326,115.336,-2,-0.02
03/04/2022 11:10,115.335,115.345,115.308,115.338,0.3,0
03/04/2022 11:15,115.336,115.364,115.329,115.364,2.8,0.02
03/04/2022 11:20,115.363,115.377,115.337,115.374,1.1,0.01
03/04/2022 11:25,115.378,115.398,115.369,115.398,2,0.02
03/04/2022 11:30,115.399,115.399,115.368,115.371,-2.8,-0.02
03/04/2022 11:35,115.369,115.375,115.357,115.357,-1.2,-0.01
03/04/2022 11:40,115.362,115.394,115.361,115.393,3.1,0.03
03/04/2022 11:45,115.392,115.407,115.386,115.399,0.7,0.01
03/04/2022 11:50,115.401,115.403,115.352,115.364,-3.7,-0.03
03/04/2022 11:55,115.362,115.381,115.355,115.38,1.8,0.02
03/04/2022 12:00,115.382,115.382,115.351,115.373,-0.9,-0.01
03/04/2022 12:05,115.369,115.37,115.332,115.367,-0.2,0
03/04/2022 12:10,115.37,115.37,115.346,115.362,-0.8,-0.01
03/04/2022 12:15,115.363,115.38,115.361,115.375,1.2,0.01
03/04/2022 12:20,115.371,115.381,115.355,115.363,-0.8,-0.01
03/04/2022 12:25,115.363,115.378,115.361,115.371,0.8,0.01
03/04/2022 12:30,115.374,115.395,115.371,115.395,2.1,0.02
03/04/2022 12:35,115.391,115.424,115.391,115.418,2.7,0.02
03/04/2022 12:40,115.418,115.432,115.406,115.427,0.9,0.01
03/04/2022 12:45,115.43,115.437,115.421,115.435,0.5,0
