Date,Open,High,Low,Close,Change(Pips),Change(%)
02/25/2022 00:00,115.549,115.6,115.522,115.581,3.2,0.03
02/24/2022 23:45,115.541,115.599,115.53,115.55,0.9,0.01
02/24/2022 23:30,115.537,115.547,115.51,115.538,0.1,0
02/24/2022 23:15,115.47,115.573,115.47,115.541,7.1,0.06
02/24/2022 23:00,115.493,115.528,115.441,115.473,-2,-0.02
02/24/2022 22:45,115.491,115.505,115.477,115.489,-0.2,0
02/24/2022 22:30,115.502,115.512,115.468,115.487,-1.5,-0.01
02/24/2022 22:15,115.504,115.518,115.497,115.498,-0.6,-0.01
02/24/2022 22:00,115.474,115.533,115.47,115.516,4.2,0.04
02/24/2022 21:45,115.554,115.555,115.523,115.535,-1.9,-0.02
02/24/2022 21:30,115.558,115.574,115.528,115.554,-0.4,0
02/24/2022 21:15,115.563,115.578,115.548,115.557,-0.6,-0.01
02/24/2022 21:00,115.587,115.627,115.527,115.563,-2.4,-0.02
02/24/2022 20:45,115.61,115.63,115.572,115.592,-1.8,-0.02
02/24/2022 20:30,115.602,115.657,115.594,115.609,0.7,0.01
02/24/2022 20:15,115.682,115.687,115.579,115.602,-8,-0.07
02/24/2022 20:00,115.685,115.696,115.622,115.685,0,0
02/24/2022 19:45,115.613,115.696,115.578,115.687,7.4,0.06
02/24/2022 19:30,115.534,115.655,115.534,115.612,7.8,0.07
02/24/2022 19:15,115.456,115.56,115.438,115.536,8,0.07
02/24/2022 19:00,115.364,115.456,115.358,115.453,8.9,0.08
02/24/2022 18:45,115.37,115.408,115.314,115.36,-1,-0.01
02/24/2022 18:30,115.376,115.424,115.361,115.366,-1,-0.01
02/24/2022 18:15,115.378,115.4,115.364,115.374,-0.4,0
02/24/2022 18:00,115.341,115.383,115.322,115.379,3.8,0.03
02/24/2022 17:45,115.343,115.375,115.327,115.344,0.1,0
02/24/2022 17:30,115.274,115.368,115.267,115.342,6.8,0.06
02/24/2022 17:15,115.372,115.4,115.264,115.268,-10.4,-0.09
02/24/2022 17:00,115.464,115.48,115.358,115.372,-9.2,-0.08
02/24/2022 16:45,115.381,115.482,115.378,115.465,8.4,0.07
02/24/2022 16:30,115.407,115.436,115.369,115.379,-2.8,-0.02
02/24/2022 16:15,115.495,115.502,115.363,115.409,-8.6,-0.07
02/24/2022 16:00,115.605,115.655,115.499,115.499,-10.6,-0.09
02/24/2022 15:45,115.468,115.62,115.46,115.603,13.5,0.12
02/24/2022 15:30,115.406,115.476,115.374,115.464,5.8,0.05
02/24/2022 15:15,115.424,115.455,115.366,115.402,-2.2,-0.02
02/24/2022 15:00,115.169,115.455,115.163,115.419,25,0.22
02/24/2022 14:45,115.059,115.184,115.052,115.167,10.8,0.09
02/24/2022 14:30,114.96,115.066,114.954,115.056,9.6,0.08
02/24/2022 14:15,114.996,115.119,114.926,114.953,-4.3,-0.04
02/24/2022 14:00,114.902,115.012,114.9,114.996,9.4,0.08
02/24/2022 13:45,114.917,115.001,114.888,114.903,-1.4,-0.01
02/24/2022 13:30,114.816,114.926,114.793,114.918,10.2,0.09
02/24/2022 13:15,114.909,114.953,114.829,114.881,-2.8,-0.02
02/24/2022 13:00,114.789,114.953,114.783,114.91,12.1,0.11
02/24/2022 12:45,114.685,114.796,114.674,114.789,10.4,0.09
02/24/2022 12:30,114.669,114.694,114.605,114.685,1.6,0.01
02/24/2022 12:15,114.747,114.751,114.662,114.67,-7.7,-0.07
02/24/2022 12:00,114.783,114.786,114.708,114.748,-3.5,-0.03
02/24/2022 11:45,114.772,114.825,114.728,114.784,1.2,0.01
02/24/2022 11:30,114.653,114.777,114.631,114.771,11.8,0.1
02/24/2022 11:15,114.637,114.733,114.623,114.65,1.3,0.01
02/24/2022 11:00,114.661,114.695,114.572,114.635,-2.6,-0.02
02/24/2022 10:45,114.69,114.738,114.658,114.664,-2.6,-0.02
02/24/2022 10:30,114.669,114.718,114.626,114.693,2.4,0.02
02/24/2022 10:15,114.758,114.777,114.624,114.671,-8.7,-0.08
02/24/2022 10:00,114.732,114.783,114.716,114.759,2.7,0.02
02/24/2022 09:45,114.726,114.781,114.704,114.732,0.6,0.01
02/24/2022 09:30,114.704,114.766,114.701,114.728,2.4,0.02
02/24/2022 09:15,114.738,114.753,114.663,114.704,-3.4,-0.03
02/24/2022 09:00,114.664,114.767,114.637,114.736,7.2,0.06
02/24/2022 08:45,114.667,114.678,114.604,114.664,-0.3,0
02/24/2022 08:30,114.742,114.75,114.649,114.663,-7.9,-0.07
02/24/2022 08:15,114.65,114.784,114.631,114.74,9,0.08
02/24/2022 08:00,114.623,114.717,114.591,114.654,3.1,0.03
02/24/2022 07:45,114.578,114.656,114.537,114.625,4.7,0.04
02/24/2022 07:30,114.495,114.59,114.452,114.578,8.3,0.07
02/24/2022 07:15,114.459,114.498,114.406,114.494,3.5,0.03
02/24/2022 07:00,114.427,114.5,114.42,114.46,3.3,0.03
02/24/2022 06:45,114.503,114.503,114.414,114.433,-7,-0.06
02/24/2022 06:30,114.496,114.504,114.453,114.498,0.2,0
02/24/2022 06:15,114.511,114.587,114.436,114.499,-1.2,-0.01
02/24/2022 06:00,114.561,114.624,114.498,114.509,-5.2,-0.05
02/24/2022 05:45,114.565,114.604,114.548,114.56,-0.5,0
02/24/2022 05:30,114.609,114.623,114.498,114.57,-3.9,-0.03
02/24/2022 05:15,114.642,114.646,114.584,114.609,-3.3,-0.03
02/24/2022 05:00,114.663,114.679,114.579,114.643,-2,-0.02
02/24/2022 04:45,114.616,114.73,114.593,114.661,4.5,0.04
02/24/2022 04:30,114.584,114.652,114.551,114.612,2.8,0.02
02/24/2022 04:15,114.572,114.653,114.512,114.587,1.5,0.01
02/24/2022 04:00,114.699,114.728,114.566,114.573,-12.6,-0.11
02/24/2022 03:45,114.743,114.817,114.655,114.698,-4.5,-0.04
02/24/2022 03:30,114.881,114.881,114.692,114.748,-13.3,-0.12
02/24/2022 03:15,114.895,114.946,114.837,114.88,-1.5,-0.01
02/24/2022 03:00,115.02,115.077,114.84,114.896,-12.4,-0.11
02/24/2022 02:45,115.086,115.102,114.975,115.021,-6.5,-0.06
02/24/2022 02:30,115.037,115.102,115.035,115.083,4.6,0.04
02/24/2022 02:15,115.06,115.07,115.004,115.037,-2.3,-0.02
02/24/2022 02:00,115.082,115.087,115.038,115.066,-1.6,-0.01
02/24/2022 01:45,114.987,115.118,114.97,115.082,9.5,0.08
02/24/2022 01:30,114.927,114.986,114.925,114.985,5.8,0.05
02/24/2022 01:15,114.958,114.99,114.928,114.929,-2.9,-0.03
02/24/2022 01:00,114.908,114.985,114.884,114.963,5.5,0.05
02/24/2022 00:45,114.864,114.94,114.859,114.909,4.5,0.04
02/24/2022 00:30,114.89,114.89,114.831,114.866,-2.4,-0.02
02/24/2022 00:15,114.919,114.939,114.839,114.883,-3.6,-0.03
02/24/2022 00:00,114.899,114.933,114.854,114.921,2.2,0.02
02/23/2022 23:45,114.923,114.935,114.873,114.897,-2.6,-0.02
02/23/2022 23:30,114.9,114.942,114.888,114.925,2.5,0.02
02/23/2022 23:15,114.961,114.961,114.889,114.896,-6.5,-0.06
02/23/2022 23:00,114.981,114.99,114.921,114.962,-1.9,-0.02
02/23/2022 22:45,114.998,115.003,114.967,114.978,-2,-0.02
02/23/2022 22:30,114.989,115.013,114.987,115.001,1.2,0.01
02/23/2022 22:15,114.967,115.009,114.966,114.987,2,0.02
02/23/2022 22:00,114.979,114.986,114.956,114.984,0.5,0
02/23/2022 21:45,115.014,115.025,115.003,115.008,-0.6,-0.01
02/23/2022 21:30,115.016,115.026,115.009,115.016,0,0
02/23/2022 21:15,114.984,115.014,114.98,115.014,3,0.03
02/23/2022 21:00,115.003,115.004,114.975,114.987,-1.6,-0.01
02/23/2022 20:45,114.999,115.017,114.981,115.002,0.3,0
02/23/2022 20:30,115.004,115.025,114.995,114.999,-0.5,0
02/23/2022 20:15,114.954,115.006,114.951,115.006,5.2,0.05
02/23/2022 20:00,114.965,114.982,114.923,114.951,-1.4,-0.01
02/23/2022 19:45,114.979,114.986,114.964,114.966,-1.3,-0.01
02/23/2022 19:30,114.967,114.987,114.961,114.981,1.4,0.01
02/23/2022 19:15,114.964,114.997,114.951,114.964,0,0
02/23/2022 19:00,114.927,114.985,114.926,114.966,3.9,0.03
02/23/2022 18:45,114.946,114.968,114.924,114.926,-2,-0.02
02/23/2022 18:30,114.992,115.005,114.927,114.948,-4.4,-0.04
02/23/2022 18:15,115.037,115.045,114.989,114.991,-4.6,-0.04
02/23/2022 18:00,115.078,115.091,115.032,115.039,-3.9,-0.03
02/23/2022 17:45,115.087,115.095,115.07,115.076,-1.1,-0.01
02/23/2022 17:30,115.105,115.11,115.079,115.086,-1.9,-0.02
02/23/2022 17:15,115.093,115.115,115.081,115.1,0.7,0.01
02/23/2022 17:00,115.126,115.127,115.075,115.094,-3.2,-0.03
02/23/2022 16:45,115.088,115.13,115.087,115.124,3.6,0.03
02/23/2022 16:30,115.056,115.1,115.047,115.092,3.6,0.03
02/23/2022 16:15,115.071,115.085,115.052,115.056,-1.5,-0.01
02/23/2022 16:00,115.031,115.073,115.015,115.068,3.7,0.03
02/23/2022 15:45,115.056,115.104,115.03,115.034,-2.2,-0.02
02/23/2022 15:30,115.057,115.111,115.048,115.057,0,0
02/23/2022 15:15,115.075,115.076,115.03,115.058,-1.7,-0.01
02/23/2022 15:00,115.143,115.146,115.023,115.075,-6.8,-0.06
02/23/2022 14:45,115.148,115.205,115.131,115.149,0.1,0
02/23/2022 14:30,115.098,115.143,115.073,115.143,4.5,0.04
02/23/2022 14:15,115.053,115.101,115.045,115.101,4.8,0.04
02/23/2022 14:00,115.01,115.055,114.995,115.048,3.8,0.03
02/23/2022 13:45,115.004,115.048,114.999,115.011,0.7,0.01
02/23/2022 13:30,115.07,115.07,114.959,115.003,-6.7,-0.06
02/23/2022 13:15,115.099,115.131,115.059,115.065,-3.4,-0.03
02/23/2022 13:00,115.095,115.123,115.088,115.101,0.6,0.01
02/23/2022 12:45,115.082,115.109,115.075,115.096,1.4,0.01
02/23/2022 12:30,115.079,115.093,115.056,115.081,0.2,0
02/23/2022 12:15,115.096,115.097,115.064,115.078,-1.8,-0.02
02/23/2022 12:00,115.097,115.124,115.085,115.096,-0.1,0
02/23/2022 11:45,115.089,115.106,115.069,115.091,0.2,0
02/23/2022 11:30,115.075,115.09,115.061,115.088,1.3,0.01
02/23/2022 11:15,115.103,115.108,115.075,115.079,-2.4,-0.02
02/23/2022 11:00,115.058,115.106,115.053,115.095,3.7,0.03
02/23/2022 10:45,115.045,115.07,115.043,115.06,1.5,0.01
02/23/2022 10:30,115.04,115.063,115.031,115.046,0.6,0.01
02/23/2022 10:15,115.044,115.051,115.018,115.039,-0.5,0
02/23/2022 10:00,115.069,115.081,115.016,115.045,-2.4,-0.02
02/23/2022 09:45,115.114,115.142,115.055,115.07,-4.4,-0.04
02/23/2022 09:30,115.112,115.134,115.098,115.111,-0.1,0
02/23/2022 09:15,115.132,115.135,115.104,115.116,-1.6,-0.01
02/23/2022 09:00,115.139,115.166,115.12,115.127,-1.2,-0.01
02/23/2022 08:45,115.027,115.149,115.027,115.143,11.6,0.1
02/23/2022 08:30,115.05,115.053,114.99,115.023,-2.7,-0.02
02/23/2022 08:15,115.081,115.086,115.039,115.052,-2.9,-0.03
02/23/2022 08:00,115.073,115.09,115.008,115.08,0.7,0.01
02/23/2022 07:45,115.072,115.086,115.055,115.072,0,0
02/23/2022 07:30,115.074,115.085,115.06,115.067,-0.7,-0.01
02/23/2022 07:15,115.042,115.089,115.018,115.074,3.2,0.03
02/23/2022 07:00,115.057,115.058,114.992,115.042,-1.5,-0.01
02/23/2022 06:45,115.029,115.059,115.024,115.057,2.8,0.02
02/23/2022 06:30,115.043,115.05,115.028,115.028,-1.5,-0.01
02/23/2022 06:15,115.046,115.054,115.037,115.044,-0.2,0
02/23/2022 06:00,115.049,115.058,115.036,115.041,-0.8,-0.01
02/23/2022 05:45,115.05,115.055,115.037,115.051,0.1,0
02/23/2022 05:30,115.057,115.07,115.042,115.047,-1,-0.01
02/23/2022 05:15,115.041,115.058,115.036,115.057,1.6,0.01
02/23/2022 05:00,115.04,115.057,115.036,115.043,0.3,0
02/23/2022 04:45,115.019,115.05,115.016,115.04,2.1,0.02
02/23/2022 04:30,115.02,115.024,115.013,115.017,-0.3,0
02/23/2022 04:15,115.02,115.026,115.015,115.022,0.2,0
02/23/2022 04:00,115.023,115.023,115.007,115.02,-0.3,0
02/23/2022 03:45,115.023,115.029,114.997,115.022,-0.1,0
02/23/2022 03:30,115.047,115.048,115.012,115.022,-2.5,-0.02
02/23/2022 03:15,115.037,115.052,115.036,115.046,0.9,0.01
02/23/2022 03:00,115.078,115.083,115.03,115.035,-4.3,-0.04
02/23/2022 02:45,115.077,115.096,115.067,115.077,0,0
02/23/2022 02:30,115.063,115.077,115.051,115.077,1.4,0.01
02/23/2022 02:15,115.069,115.07,115.05,115.063,-0.6,-0.01
02/23/2022 02:00,115.036,115.07,115.027,115.068,3.2,0.03
02/23/2022 01:45,115.005,115.041,114.988,115.037,3.2,0.03
02/23/2022 01:30,115.041,115.041,114.989,115.005,-3.6,-0.03
02/23/2022 01:15,115.047,115.053,115.027,115.039,-0.8,-0.01
