Date,Open,High,Low,Close,Change(Pips),Change(%)
02/22/2022 15:55,115.068,115.081,115.049,115.05,-1.8,-0.02
02/22/2022 16:00,115.055,115.088,115.053,115.078,2.3,0.02
02/22/2022 16:05,115.074,115.077,115.028,115.037,-3.7,-0.03
02/22/2022 16:10,115.036,115.042,114.995,115.002,-3.4,-0.03
02/22/2022 16:15,115.003,115.007,114.958,114.966,-3.7,-0.03
02/22/2022 16:20,114.965,114.973,114.937,114.962,-0.3,0
02/22/2022 16:25,114.967,114.967,114.928,114.932,-3.5,-0.03
02/22/2022 16:30,114.935,114.996,114.933,114.975,4,0.03
02/22/2022 16:35,114.973,114.979,114.938,114.972,-0.1,0
02/22/2022 16:40,114.975,114.999,114.959,114.983,0.8,0.01
02/22/2022 16:45,114.978,114.986,114.953,114.958,-2,-0.02
02/22/2022 16:50,114.958,114.97,114.927,114.947,-1.1,-0.01
02/22/2022 16:55,114.947,114.955,114.931,114.941,-0.6,-0.01
02/22/2022 17:00,114.944,114.982,114.943,114.962,1.8,0.02
02/22/2022 17:05,114.961,114.971,114.957,114.958,-0.3,0
02/22/2022 17:10,114.957,114.979,114.947,114.978,2.1,0.02
02/22/2022 17:15,114.976,114.98,114.969,114.971,-0.5,0
02/22/2022 17:20,114.975,114.991,114.974,114.987,1.2,0.01
02/22/2022 17:25,114.986,114.99,114.968,114.976,-1,-0.01
02/22/2022 17:30,114.974,114.974,114.925,114.929,-4.5,-0.04
02/22/2022 17:35,114.933,114.955,114.929,114.942,0.9,0.01
02/22/2022 17:40,114.939,114.94,114.926,114.939,0,0
02/22/2022 17:45,114.943,114.945,114.921,114.943,0,0
02/22/2022 17:50,114.941,114.962,114.928,114.942,0.1,0
02/22/2022 17:55,114.94,114.94,114.916,114.924,-1.6,-0.01
02/22/2022 18:00,114.926,114.929,114.88,114.894,-3.2,-0.03
02/22/2022 18:05,114.892,114.897,114.873,114.891,-0.1,0
02/22/2022 18:10,114.894,114.925,114.894,114.917,2.3,0.02
02/22/2022 18:15,114.914,114.921,114.888,114.905,-0.9,-0.01
02/22/2022 18:20,114.906,114.916,114.902,114.908,0.2,0
02/22/2022 18:25,114.907,114.913,114.899,114.908,0.1,0
02/22/2022 18:30,114.911,114.937,114.911,114.935,2.4,0.02
02/22/2022 18:35,114.931,114.931,114.919,114.929,-0.2,0
02/22/2022 18:40,114.934,114.944,114.932,114.942,0.8,0.01
02/22/2022 18:45,114.94,114.946,114.93,114.937,-0.3,0
02/22/2022 18:50,114.937,114.947,114.926,114.945,0.8,0.01
02/22/2022 18:55,114.944,114.952,114.944,114.948,0.4,0
02/22/2022 19:00,114.943,114.955,114.937,114.945,0.2,0
02/22/2022 19:05,114.947,114.96,114.945,114.957,1,0.01
02/22/2022 19:10,114.958,114.986,114.953,114.983,2.5,0.02
02/22/2022 19:15,114.984,115.001,114.984,114.995,1.1,0.01
02/22/2022 19:20,115.001,115.015,114.97,114.996,-0.5,0
02/22/2022 19:25,114.994,115.056,114.978,115.052,5.8,0.05
02/22/2022 19:30,115.052,115.082,115.037,115.046,-0.6,-0.01
02/22/2022 19:35,115.044,115.079,115.036,115.07,2.6,0.02
02/22/2022 19:40,115.071,115.077,115.059,115.066,-0.5,0
02/22/2022 19:45,115.065,115.099,115.042,115.089,2.4,0.02
02/22/2022 19:50,115.092,115.106,115.069,115.092,0,0
02/22/2022 19:55,115.095,115.105,115.069,115.071,-2.4,-0.02
02/22/2022 20:00,115.07,115.108,115.066,115.104,3.4,0.03
02/22/2022 20:05,115.105,115.111,115.075,115.077,-2.8,-0.02
02/22/2022 20:10,115.074,115.091,115.068,115.078,0.4,0
02/22/2022 20:15,115.078,115.085,115.044,115.05,-2.8,-0.02
02/22/2022 20:20,115.054,115.059,115.036,115.046,-0.8,-0.01
02/22/2022 20:25,115.043,115.065,115.042,115.05,0.7,0.01
02/22/2022 20:30,115.052,115.069,115.044,115.069,1.7,0.01
02/22/2022 20:35,115.073,115.084,115.068,115.079,0.6,0.01
02/22/2022 20:40,115.079,115.079,115.054,115.067,-1.2,-0.01
02/22/2022 20:45,115.063,115.071,115.057,115.064,0.1,0
02/22/2022 20:50,115.064,115.064,115.016,115.016,-4.8,-0.04
02/22/2022 20:55,115.021,115.028,115.009,115.024,0.3,0
02/22/2022 21:00,115.024,115.046,115.021,115.045,2.1,0.02
02/22/2022 21:05,115.046,115.059,115.041,115.059,1.3,0.01
02/22/2022 21:10,115.058,115.059,115.053,115.055,-0.3,0
02/22/2022 21:15,115.053,115.066,115.053,115.063,1,0.01
02/22/2022 21:20,115.062,115.064,115.055,115.058,-0.4,0
02/22/2022 21:25,115.059,115.061,115.047,115.053,-0.6,-0.01
02/22/2022 21:30,115.052,115.065,115.051,115.065,1.3,0.01
02/22/2022 21:35,115.067,115.07,115.058,115.059,-0.8,-0.01
02/22/2022 21:40,115.056,115.076,115.055,115.076,2,0.02
02/22/2022 21:45,115.075,115.083,115.069,115.069,-0.6,-0.01
02/22/2022 21:50,115.072,115.079,115.06,115.071,-0.1,0
02/22/2022 21:55,115.07,115.072,115.053,115.072,0.2,0
02/22/2022 22:00,115.056,115.056,115.056,115.056,0,0
02/22/2022 22:05,115.057,115.061,115.034,115.046,-1.1,-0.01
02/22/2022 22:10,115.042,115.042,115.038,115.042,0,0
02/22/2022 22:15,115.047,115.047,115.047,115.047,0,0
02/22/2022 22:20,115.035,115.066,115.035,115.062,2.7,0.02
02/22/2022 22:25,115.046,115.046,115.046,115.046,0,0
02/22/2022 22:30,115.052,115.072,115.052,115.072,2,0.02
02/22/2022 22:35,115.071,115.071,115.057,115.06,-1.1,-0.01
02/22/2022 22:40,115.06,115.061,115.04,115.046,-1.4,-0.01
02/22/2022 22:45,115.044,115.045,115.023,115.04,-0.4,0
02/22/2022 22:50,115.041,115.044,115.036,115.039,-0.2,0
02/22/2022 22:55,115.038,115.053,115.038,115.053,1.5,0.01
02/22/2022 23:00,115.054,115.061,115.041,115.061,0.7,0.01
02/22/2022 23:05,115.06,115.064,115.057,115.058,-0.2,0
02/22/2022 23:10,115.056,115.061,115.054,115.057,0.1,0
02/22/2022 23:15,115.06,115.081,115.058,115.081,2.1,0.02
02/22/2022 23:20,115.081,115.086,115.077,115.08,-0.1,0
02/22/2022 23:25,115.077,115.102,115.077,115.09,1.3,0.01
02/22/2022 23:30,115.093,115.103,115.089,115.092,-0.1,0
02/22/2022 23:35,115.088,115.094,115.08,115.093,0.5,0
02/22/2022 23:40,115.093,115.095,115.083,115.085,-0.8,-0.01
02/22/2022 23:45,115.086,115.101,115.086,115.101,1.5,0.01
02/22/2022 23:50,115.103,115.112,115.095,115.096,-0.7,-0.01
02/22/2022 23:55,115.093,115.1,115.088,115.096,0.3,0
02/23/2022 00:00,115.098,115.127,115.096,115.12,2.2,0.02
02/23/2022 00:05,115.118,115.12,115.112,115.112,-0.6,-0.01
02/23/2022 00:10,115.115,115.116,115.085,115.087,-2.8,-0.02
02/23/2022 00:15,115.087,115.104,115.079,115.079,-0.8,-0.01
02/23/2022 00:20,115.075,115.083,115.07,115.071,-0.4,0
02/23/2022 00:25,115.07,115.076,115.067,115.07,0,0
02/23/2022 00:30,115.071,115.074,115.032,115.047,-2.4,-0.02
02/23/2022 00:35,115.046,115.046,115.039,115.044,-0.2,0
02/23/2022 00:40,115.037,115.044,115.032,115.036,-0.1,0
02/23/2022 00:45,115.039,115.048,115.036,115.037,-0.2,0
02/23/2022 00:50,115.037,115.037,115.012,115.013,-2.4,-0.02
02/23/2022 00:55,115.014,115.032,115.006,115.024,1,0.01
02/23/2022 01:00,115.021,115.024,114.988,115.008,-1.3,-0.01
02/23/2022 01:05,115.009,115.042,115.007,115.041,3.2,0.03
02/23/2022 01:10,115.044,115.051,115.04,115.05,0.6,0.01
02/23/2022 01:15,115.051,115.057,115.038,115.044,-0.7,-0.01
02/23/2022 01:20,115.047,115.047,115.033,115.033,-1.4,-0.01
02/23/2022 01:25,115.028,115.048,115.026,115.038,1,0.01
02/23/2022 01:30,115.04,115.04,115.002,115.008,-3.2,-0.03
02/23/2022 01:35,115.008,115.021,115.005,115.009,0.1,0
02/23/2022 01:40,115.012,115.015,114.99,115.006,-0.6,-0.01
02/23/2022 01:45,115.006,115.006,114.989,114.992,-1.4,-0.01
02/23/2022 01:50,114.993,115.005,114.993,115,0.7,0.01
02/23/2022 01:55,114.999,115.045,114.999,115.041,4.2,0.04
02/23/2022 02:00,115.041,115.053,115.032,115.053,1.2,0.01
02/23/2022 02:05,115.047,115.064,115.043,115.058,1.1,0.01
02/23/2022 02:10,115.058,115.071,115.054,115.069,1.1,0.01
02/23/2022 02:15,115.07,115.071,115.056,115.058,-1.2,-0.01
02/23/2022 02:20,115.058,115.066,115.051,115.056,-0.2,0
02/23/2022 02:25,115.058,115.072,115.057,115.067,0.9,0.01
02/23/2022 02:30,115.059,115.068,115.047,115.054,-0.5,0
02/23/2022 02:35,115.057,115.06,115.05,115.058,0.1,0
02/23/2022 02:40,115.06,115.078,115.059,115.078,1.8,0.02
02/23/2022 02:45,115.073,115.075,115.063,115.075,0.2,0
02/23/2022 02:50,115.079,115.096,115.079,115.096,1.7,0.01
02/23/2022 02:55,115.091,115.092,115.066,115.073,-1.8,-0.02
02/23/2022 03:00,115.077,115.082,115.041,115.059,-1.8,-0.02
