Date, Open, High, Low, Close
02/10/22, 4553.24, 4588.92, 4484.31, 4504.08
02/09/22, 4547.00, 4590.03, 4547.00, 4587.18
02/08/22, 4480.02, 4531.32, 4465.40, 4521.54
02/07/22, 4505.75, 4521.86, 4471.47, 4483.87
02/04/22, 4482.79, 4539.66, 4451.50, 4500.53
02/03/22, 4535.41, 4542.88, 4470.39, 4477.44
02/02/22, 4566.39, 4595.31, 4544.32, 4589.38
02/01/22, 4519.57, 4550.49, 4483.53, 4546.54
01/31/22, 4431.79, 4516.89, 4414.02, 4515.55
01/28/22, 4336.19, 4432.72, 4292.46, 4431.85
01/27/22, 4380.58, 4428.74, 4309.50, 4326.51
01/26/22, 4408.43, 4453.23, 4304.80, 4349.93
01/25/22, 4366.64, 4411.01, 4287.11, 4356.45
01/24/22, 4356.32, 4417.35, 4222.62, 4410.13
01/21/22, 4471.38, 4494.52, 4395.34, 4397.94
01/20/22, 4547.35, 4602.11, 4477.95, 4482.73
01/19/22, 4588.03, 4611.55, 4530.20, 4532.76
01/18/22, 4632.24, 4632.24, 4568.70, 4577.11
01/14/22, 4637.99, 4665.13, 4614.75, 4662.85
01/13/22, 4733.56, 4744.13, 4650.29, 4659.03
01/12/22, 4728.59, 4748.83, 4706.71, 4726.35
01/11/22, 4669.14, 4714.13, 4638.27, 4713.07
01/10/22, 4655.34, 4673.02, 4582.24, 4670.29
01/07/22, 4697.66, 4707.95, 4662.74, 4677.03
01/06/22, 4693.39, 4725.01, 4671.26, 4696.05
01/05/22, 4787.99, 4797.70, 4699.44, 4700.58
01/04/22, 4804.51, 4818.62, 4774.27, 4793.54
01/03/22, 4778.14, 4796.64, 4758.17, 4796.56
12/31/21, 4775.21, 4786.83, 4765.75, 4766.18
12/30/21, 4794.23, 4808.93, 4775.33, 4778.73
12/29/21, 4788.64, 4804.06, 4778.08, 4793.06
12/28/21, 4795.49, 4807.02, 4780.04, 4786.35
12/27/21, 4733.99, 4791.49, 4733.99, 4791.19
12/23/21, 4703.96, 4740.74, 4703.96, 4725.79
12/22/21, 4650.36, 4697.67, 4645.53, 4696.56
12/21/21, 4594.96, 4651.14, 4583.16, 4649.23
12/20/21, 4587.90, 4587.90, 4531.10, 4568.02
12/17/21, 4652.50, 4666.70, 4600.22, 4620.64
12/16/21, 4719.13, 4731.99, 4651.89, 4668.67
12/15/21, 4636.46, 4712.60, 4611.22, 4709.85
12/14/21, 4642.99, 4660.47, 4606.52, 4634.09
12/13/21, 4710.30, 4710.30, 4667.60, 4668.97
12/10/21, 4687.64, 4713.57, 4670.24, 4712.02
12/09/21, 4691.00, 4695.26, 4665.98, 4667.45
12/08/21, 4690.86, 4705.06, 4674.52, 4701.21
12/07/21, 4631.97, 4694.04, 4631.97, 4686.75
12/06/21, 4548.37, 4612.60, 4540.51, 4591.67
12/03/21, 4589.49, 4608.03, 4495.12, 4538.43
12/02/21, 4504.73, 4595.46, 4504.73, 4577.10
12/01/21, 4602.82, 4652.94, 4510.27, 4513.04
11/30/21, 4640.25, 4646.02, 4560.00, 4567.00
11/29/21, 4628.75, 4672.95, 4625.26, 4655.27
11/26/21, 4664.63, 4664.63, 4585.43, 4594.62
11/24/21, 4675.78, 4702.87, 4659.89, 4701.46
11/23/21, 4678.48, 4699.39, 4652.66, 4690.70
11/22/21, 4712.00, 4743.83, 4682.17, 4682.94
11/19/21, 4708.44, 4717.75, 4694.22, 4697.96
11/18/21, 4700.72, 4708.80, 4672.78, 4704.54
11/17/21, 4701.50, 4701.50, 4684.41, 4688.67
11/16/21, 4679.42, 4714.95, 4679.42, 4700.90
11/15/21, 4689.30, 4697.42, 4672.86, 4682.80
