INFO 2022-10-17 12:03:50,049 Symbol:  ETHUSD | Position:    0 | close price:  1309.61 | Side:  BUY 🟢 | Profits:  -1309.61 | Quantity:    1 🤑
INFO 2022-10-17 12:03:59,932 Symbol:  ETHUSD | Position:    1 | close price:  1309.61 | Side:  BUY 🟢 | Profits:  -2619.22 | Quantity:    1 🤑
INFO 2022-10-17 12:04:05,612 Symbol:  ETHUSD | Position:    2 | close price:  1309.61 | Side:  BUY 🟢 | Profits:  -3928.83 | Quantity:    1 🤑
INFO 2022-10-17 12:05:00,647 Symbol:  ETHUSD | Position:    3 | close price:  1310.67 | Side:  BUY 🟢 | Profits:  -5239.50 | Quantity:    1 🤑
INFO 2022-10-17 12:06:00,570 Symbol:  ETHUSD | Position:    4 | close price:  1311.19 | Side:  BUY 🟢 | Profits:  -6550.69 | Quantity:    1 🤑
INFO 2022-10-17 12:07:00,616 Symbol:  ETHUSD | Position:    5 | close price:  1310.44 | Side:  BUY 🟢 | Profits:  -7861.13 | Quantity:    1 🤑
INFO 2022-10-17 12:08:00,539 Symbol:  ETHUSD | Position:    6 | close price:  1311.04 | Side:  BUY 🟢 | Profits:  -9172.17 | Quantity:    1 🤑
INFO 2022-10-17 12:09:00,484 Symbol:  ETHUSD | Position:    7 | close price:  1310.41 | Side:  BUY 🟢 | Profits: -10482.58 | Quantity:    1 🤑
INFO 2022-10-17 12:10:00,466 Symbol:  ETHUSD | Position:    8 | close price:  1309.57 | Side:  BUY 🟢 | Profits: -11792.15 | Quantity:    1 🤑
INFO 2022-10-17 12:11:00,535 Symbol:  ETHUSD | Position:    9 | close price:  1309.83 | Side:  BUY 🟢 | Profits: -13101.98 | Quantity:    1 🤑
INFO 2022-10-17 12:12:00,471 Symbol:  ETHUSD | Position:   10 | close price:  1309.22 | Side:  BUY 🟢 | Profits: -14411.20 | Quantity:    1 🤑
INFO 2022-10-17 12:13:00,377 Symbol:  ETHUSD | Position:   11 | close price:  1309.61 | Side:  BUY 🟢 | Profits: -15720.81 | Quantity:    1 🤑
INFO 2022-10-17 12:14:00,281 Symbol:  ETHUSD | Position:   12 | close price:  1310.07 | Side:  BUY 🟢 | Profits: -17030.88 | Quantity:    1 🤑
INFO 2022-10-17 12:15:00,253 Symbol:  ETHUSD | Position:   13 | close price:  1309.72 | Side:  BUY 🟢 | Profits: -18340.60 | Quantity:    1 🤑
INFO 2022-10-17 12:16:00,173 Symbol:  ETHUSD | Position:   14 | close price:   1310.2 | Side:  BUY 🟢 | Profits: -19650.80 | Quantity:    1 🤑
INFO 2022-10-17 12:17:00,218 Symbol:  ETHUSD | Position:   15 | close price:  1309.94 | Side:  BUY 🟢 | Profits: -20960.74 | Quantity:    1 🤑
INFO 2022-10-17 12:18:00,224 Symbol:  ETHUSD | Position:   16 | close price:   1310.0 | Side:  BUY 🟢 | Profits: -22270.74 | Quantity:    1 🤑
INFO 2022-10-17 12:19:00,218 Symbol:  ETHUSD | Position:   17 | close price:  1309.92 | Side:  BUY 🟢 | Profits: -23580.66 | Quantity:    1 🤑
INFO 2022-10-17 12:20:00,135 Symbol:  ETHUSD | Position:   18 | close price:  1308.77 | Side:  BUY 🟢 | Profits: -24889.43 | Quantity:    1 🤑
INFO 2022-10-17 12:21:00,078 Symbol:  ETHUSD | Position:   19 | close price:  1308.71 | Side: SELL 🔴 | Profits: -23580.72 | Quantity:    1 💵
INFO 2022-10-17 12:22:00,027 Symbol:  ETHUSD | Position:   18 | close price:  1308.38 | Side: SELL 🔴 | Profits: -22272.34 | Quantity:    1 💵
INFO 2022-10-17 12:23:00,030 Symbol:  ETHUSD | Position:   17 | close price:  1307.83 | Side: SELL 🔴 | Profits: -20964.51 | Quantity:    1 💵
INFO 2022-10-17 12:24:00,040 Symbol:  ETHUSD | Position:   16 | close price:   1307.1 | Side: SELL 🔴 | Profits: -19657.41 | Quantity:    1 💵
INFO 2022-10-17 12:25:00,764 Symbol:  ETHUSD | Position:   15 | close price:   1306.9 | Side: SELL 🔴 | Profits: -18350.51 | Quantity:    1 💵
INFO 2022-10-17 12:26:00,771 Symbol:  ETHUSD | Position:   14 | close price:  1307.06 | Side: SELL 🔴 | Profits: -17043.45 | Quantity:    1 💵
