INFO 2022-12-19 10:51:32,738 Symbol:  ETHUSD | Position:    0 | close price:   1183.2 | Side:  BUY 🟢 | Profits:  -1183.20 | Quantity:    1 🤑
INFO 2022-12-19 10:52:02,372 Symbol:  ETHUSD | Position:    1 | close price:  1183.51 | Side:  BUY 🟢 | Profits:  -2366.71 | Quantity:    1 🤑
INFO 2022-12-19 10:53:01,414 Symbol:  ETHUSD | Position:    2 | close price:  1183.39 | Side:  BUY 🟢 | Profits:  -3550.10 | Quantity:    1 🤑
INFO 2022-12-19 10:54:01,643 Symbol:  ETHUSD | Position:    3 | close price:  1183.42 | Side:  BUY 🟢 | Profits:  -4733.52 | Quantity:    1 🤑
INFO 2022-12-19 10:55:02,635 Symbol:  ETHUSD | Position:    4 | close price:  1182.76 | Side:  BUY 🟢 | Profits:  -5916.28 | Quantity:    1 🤑
INFO 2022-12-19 10:56:01,945 Symbol:  ETHUSD | Position:    5 | close price:  1182.44 | Side:  BUY 🟢 | Profits:  -7098.72 | Quantity:    1 🤑
INFO 2022-12-19 10:57:02,161 Symbol:  ETHUSD | Position:    6 | close price:  1182.19 | Side:  BUY 🟢 | Profits:  -8280.91 | Quantity:    1 🤑
INFO 2022-12-19 10:58:02,443 Symbol:  ETHUSD | Position:    7 | close price:  1182.16 | Side:  BUY 🟢 | Profits:  -9463.07 | Quantity:    1 🤑
INFO 2022-12-19 10:59:01,298 Symbol:  ETHUSD | Position:    8 | close price:  1182.09 | Side:  BUY 🟢 | Profits: -10645.16 | Quantity:    1 🤑
INFO 2022-12-19 11:00:05,577 Symbol:  ETHUSD | Position:    9 | close price:  1182.14 | Side: SELL 🔴 | Profits:  -9463.02 | Quantity:    1 💵
INFO 2022-12-19 11:01:03,799 Symbol:  ETHUSD | Position:    8 | close price:  1182.51 | Side: SELL 🔴 | Profits:  -8280.51 | Quantity:    1 💵
INFO 2022-12-19 11:02:07,172 Symbol:  ETHUSD | Position:    7 | close price:  1182.26 | Side: SELL 🔴 | Profits:  -7098.25 | Quantity:    1 💵
INFO 2022-12-19 11:03:10,825 Symbol:  ETHUSD | Position:    6 | close price:  1182.49 | Side: SELL 🔴 | Profits:  -5915.76 | Quantity:    1 💵
INFO 2022-12-19 11:04:02,551 Symbol:  ETHUSD | Position:    5 | close price:  1182.28 | Side: SELL 🔴 | Profits:  -4733.48 | Quantity:    1 💵
INFO 2022-12-19 11:05:02,628 Symbol:  ETHUSD | Position:    4 | close price:   1182.3 | Side: SELL 🔴 | Profits:  -3551.18 | Quantity:    1 💵
INFO 2022-12-19 11:06:04,296 Symbol:  ETHUSD | Position:    3 | close price:  1182.41 | Side: SELL 🔴 | Profits:  -2368.77 | Quantity:    1 💵
INFO 2022-12-19 11:07:02,816 Symbol:  ETHUSD | Position:    2 | close price:  1181.87 | Side: SELL 🔴 | Profits:  -1186.90 | Quantity:    1 💵
INFO 2022-12-19 11:33:01,612 Symbol:  ETHUSD | Position:    1 | close price:  1182.63 | Side:  BUY 🟢 | Profits:  -2369.53 | Quantity:    1 🤑
INFO 2022-12-19 11:34:02,025 Symbol:  ETHUSD | Position:    2 | close price:  1181.72 | Side:  BUY 🟢 | Profits:  -3551.25 | Quantity:    1 🤑
INFO 2022-12-19 11:35:01,325 Symbol:  ETHUSD | Position:    3 | close price:  1181.72 | Side:  BUY 🟢 | Profits:  -4732.97 | Quantity:    1 🤑
INFO 2022-12-19 11:36:01,526 Symbol:  ETHUSD | Position:    4 | close price:  1179.35 | Side:  BUY 🟢 | Profits:  -5912.32 | Quantity:    1 🤑
INFO 2022-12-19 11:37:01,531 Symbol:  ETHUSD | Position:    5 | close price:  1179.84 | Side:  BUY 🟢 | Profits:  -7092.16 | Quantity:    1 🤑
