INFO 2022-12-19 12:29:08,409 Symbol:  ETHUSD | Position:    4 | close price:  1180.13 | Side: SELL 🔴 | Profits:   1180.13 | Quantity:    1 💵
INFO 2022-12-19 12:30:00,618 Symbol:  ETHUSD | Position:    3 | close price:  1180.13 | Side: SELL 🔴 | Profits:   2360.26 | Quantity:    1 💵
INFO 2022-12-19 12:31:00,517 Symbol:  ETHUSD | Position:    2 | close price:  1180.16 | Side: SELL 🔴 | Profits:   3540.42 | Quantity:    1 💵
INFO 2022-12-19 12:39:00,369 Symbol:  ETHUSD | Position:    1 | close price:  1181.31 | Side:  BUY 🟢 | Profits:   2359.11 | Quantity:    1 🤑
INFO 2022-12-19 12:40:00,466 Symbol:  ETHUSD | Position:    2 | close price:  1181.71 | Side:  BUY 🟢 | Profits:   1177.40 | Quantity:    1 🤑
INFO 2022-12-19 12:41:00,576 Symbol:  ETHUSD | Position:    3 | close price:  1180.44 | Side:  BUY 🟢 | Profits:     -3.04 | Quantity:    1 🤑
INFO 2022-12-19 12:42:01,963 Symbol:  ETHUSD | Position:    4 | close price:  1179.66 | Side:  BUY 🟢 | Profits:  -1182.70 | Quantity:    1 🤑
INFO 2022-12-19 12:43:01,123 Symbol:  ETHUSD | Position:    5 | close price:  1179.34 | Side:  BUY 🟢 | Profits:  -2362.04 | Quantity:    1 🤑
INFO 2022-12-19 12:44:00,211 Symbol:  ETHUSD | Position:    6 | close price:  1179.12 | Side:  BUY 🟢 | Profits:  -3541.16 | Quantity:    1 🤑
INFO 2022-12-19 12:45:00,317 Symbol:  ETHUSD | Position:    7 | close price:  1179.04 | Side:  BUY 🟢 | Profits:  -4720.20 | Quantity:    1 🤑
INFO 2022-12-19 12:46:00,429 Symbol:  ETHUSD | Position:    8 | close price:  1179.92 | Side:  BUY 🟢 | Profits:  -5900.12 | Quantity:    1 🤑
INFO 2022-12-19 12:47:01,043 Symbol:  ETHUSD | Position:    9 | close price:  1180.16 | Side:  BUY 🟢 | Profits:  -7080.28 | Quantity:    1 🤑
INFO 2022-12-19 12:48:00,235 Symbol:  ETHUSD | Position:   10 | close price:  1180.56 | Side:  BUY 🟢 | Profits:  -8260.84 | Quantity:    1 🤑
INFO 2022-12-19 12:49:00,346 Symbol:  ETHUSD | Position:   11 | close price:  1180.33 | Side:  BUY 🟢 | Profits:  -9441.17 | Quantity:    1 🤑
INFO 2022-12-19 12:50:00,762 Symbol:  ETHUSD | Position:   12 | close price:   1181.1 | Side:  BUY 🟢 | Profits: -10622.27 | Quantity:    1 🤑
INFO 2022-12-19 12:51:01,607 Symbol:  ETHUSD | Position:   13 | close price:  1180.76 | Side:  BUY 🟢 | Profits: -11803.03 | Quantity:    1 🤑
INFO 2022-12-19 12:52:01,250 Symbol:  ETHUSD | Position:   14 | close price:  1180.35 | Side: SELL 🔴 | Profits: -10622.68 | Quantity:    1 💵
INFO 2022-12-19 12:53:01,515 Symbol:  ETHUSD | Position:   13 | close price:  1180.68 | Side: SELL 🔴 | Profits:  -9442.00 | Quantity:    1 💵
INFO 2022-12-19 12:54:01,826 Symbol:  ETHUSD | Position:   12 | close price:  1181.34 | Side: SELL 🔴 | Profits:  -8260.66 | Quantity:    1 💵
INFO 2022-12-19 12:55:02,321 Symbol:  ETHUSD | Position:   11 | close price:  1182.41 | Side:  BUY 🟢 | Profits:  -9443.07 | Quantity:    1 🤑
INFO 2022-12-19 12:56:00,492 Symbol:  ETHUSD | Position:   12 | close price:  1180.98 | Side:  BUY 🟢 | Profits: -10624.05 | Quantity:    1 🤑
INFO 2022-12-19 12:57:00,543 Symbol:  ETHUSD | Position:   13 | close price:  1181.59 | Side:  BUY 🟢 | Profits: -11805.64 | Quantity:    1 🤑
INFO 2022-12-19 12:58:00,701 Symbol:  ETHUSD | Position:   14 | close price:  1182.22 | Side:  BUY 🟢 | Profits: -12987.86 | Quantity:    1 🤑
INFO 2022-12-19 12:59:00,947 Symbol:  ETHUSD | Position:   15 | close price:  1182.25 | Side:  BUY 🟢 | Profits: -14170.11 | Quantity:    1 🤑
INFO 2022-12-19 13:00:01,712 Symbol:  ETHUSD | Position:   16 | close price:  1182.22 | Side:  BUY 🟢 | Profits: -15352.33 | Quantity:    1 🤑
INFO 2022-12-19 13:01:01,033 Symbol:  ETHUSD | Position:   17 | close price:  1182.03 | Side:  BUY 🟢 | Profits: -16534.36 | Quantity:    1 🤑
INFO 2022-12-19 13:02:00,561 Symbol:  ETHUSD | Position:   18 | close price:   1182.1 | Side:  BUY 🟢 | Profits: -17716.46 | Quantity:    1 🤑
INFO 2022-12-19 13:03:01,694 Symbol:  ETHUSD | Position:   19 | close price:  1182.32 | Side:  BUY 🟢 | Profits: -18898.78 | Quantity:    1 🤑
INFO 2022-12-19 13:04:02,107 Symbol:  ETHUSD | Position:   20 | close price:  1182.15 | Side:  BUY 🟢 | Profits: -20080.93 | Quantity:    1 🤑
INFO 2022-12-19 13:05:00,272 Symbol:  ETHUSD | Position:   21 | close price:  1182.15 | Side:  BUY 🟢 | Profits: -21263.08 | Quantity:    1 🤑
INFO 2022-12-19 13:06:00,165 Symbol:  ETHUSD | Position:   22 | close price:  1182.38 | Side:  BUY 🟢 | Profits: -22445.46 | Quantity:    1 🤑
INFO 2022-12-19 13:07:01,462 Symbol:  ETHUSD | Position:   23 | close price:  1181.95 | Side:  BUY 🟢 | Profits: -23627.41 | Quantity:    1 🤑
INFO 2022-12-19 13:08:00,376 Symbol:  ETHUSD | Position:   24 | close price:  1182.06 | Side:  BUY 🟢 | Profits: -24809.47 | Quantity:    1 🤑
INFO 2022-12-19 13:09:02,360 Symbol:  ETHUSD | Position:   25 | close price:  1182.65 | Side:  BUY 🟢 | Profits: -25992.12 | Quantity:    1 🤑
INFO 2022-12-19 13:10:00,756 Symbol:  ETHUSD | Position:   26 | close price:   1182.6 | Side:  BUY 🟢 | Profits: -27174.72 | Quantity:    1 🤑
INFO 2022-12-19 13:11:00,836 Symbol:  ETHUSD | Position:   27 | close price:  1182.47 | Side:  BUY 🟢 | Profits: -28357.19 | Quantity:    1 🤑
