INFO 2022-12-19 14:35:45,514 Symbol:  ETHUSD | Position:   32 | close price:  1181.52 | Side:  BUY 🟢 | Profits:  -1181.52 | Quantity:    1 🤑
INFO 2022-12-19 14:36:00,893 Symbol:  ETHUSD | Position:   33 | close price:  1181.52 | Side:  BUY 🟢 | Profits:  -2363.04 | Quantity:    1 🤑
INFO 2022-12-19 14:37:01,724 Symbol:  ETHUSD | Position:   34 | close price:  1181.21 | Side:  BUY 🟢 | Profits:  -3544.25 | Quantity:    1 🤑
INFO 2022-12-19 14:38:00,970 Symbol:  ETHUSD | Position:   35 | close price:  1181.57 | Side:  BUY 🟢 | Profits:  -4725.82 | Quantity:    1 🤑
INFO 2022-12-19 14:39:01,456 Symbol:  ETHUSD | Position:   36 | close price:  1181.63 | Side:  BUY 🟢 | Profits:  -5907.45 | Quantity:    1 🤑
INFO 2022-12-19 14:40:01,036 Symbol:  ETHUSD | Position:   37 | close price:  1181.78 | Side: SELL 🔴 | Profits:  -4725.67 | Quantity:    1 💵
INFO 2022-12-19 14:41:00,368 Symbol:  ETHUSD | Position:   36 | close price:  1181.87 | Side: SELL 🔴 | Profits:  -3543.80 | Quantity:    1 💵
INFO 2022-12-19 14:42:00,828 Symbol:  ETHUSD | Position:   35 | close price:  1182.24 | Side: SELL 🔴 | Profits:  -2361.56 | Quantity:    1 💵
INFO 2022-12-19 14:43:01,631 Symbol:  ETHUSD | Position:   34 | close price:  1182.48 | Side: SELL 🔴 | Profits:  -1179.08 | Quantity:    1 💵
INFO 2022-12-19 14:44:01,060 Symbol:  ETHUSD | Position:   33 | close price:  1182.43 | Side: SELL 🔴 | Profits:      3.35 | Quantity:    1 💵
INFO 2022-12-19 14:45:02,148 Symbol:  ETHUSD | Position:   32 | close price:  1182.74 | Side: SELL 🔴 | Profits:   1186.09 | Quantity:    1 💵
INFO 2022-12-19 14:46:00,473 Symbol:  ETHUSD | Position:   31 | close price:  1182.51 | Side: SELL 🔴 | Profits:   2368.60 | Quantity:    1 💵
INFO 2022-12-19 14:47:00,795 Symbol:  ETHUSD | Position:   30 | close price:  1182.26 | Side: SELL 🔴 | Profits:   3550.86 | Quantity:    1 💵
INFO 2022-12-19 14:48:01,927 Symbol:  ETHUSD | Position:   29 | close price:  1182.59 | Side: SELL 🔴 | Profits:   4733.45 | Quantity:    1 💵
INFO 2022-12-19 14:49:01,520 Symbol:  ETHUSD | Position:   28 | close price:  1182.74 | Side: SELL 🔴 | Profits:   5916.19 | Quantity:    1 💵
INFO 2022-12-19 14:50:01,456 Symbol:  ETHUSD | Position:   27 | close price:   1182.8 | Side:  BUY 🟢 | Profits:   4733.39 | Quantity:    1 🤑
INFO 2022-12-19 14:51:00,990 Symbol:  ETHUSD | Position:   28 | close price:  1183.49 | Side:  BUY 🟢 | Profits:   3549.90 | Quantity:    1 🤑
INFO 2022-12-19 14:52:01,447 Symbol:  ETHUSD | Position:   29 | close price:  1183.35 | Side:  BUY 🟢 | Profits:   2366.55 | Quantity:    1 🤑
INFO 2022-12-19 14:53:01,446 Symbol:  ETHUSD | Position:   30 | close price:  1183.56 | Side:  BUY 🟢 | Profits:   1182.99 | Quantity:    1 🤑
INFO 2022-12-19 14:54:01,077 Symbol:  ETHUSD | Position:   31 | close price:  1184.19 | Side:  BUY 🟢 | Profits:     -1.20 | Quantity:    1 🤑
INFO 2022-12-19 14:55:00,588 Symbol:  ETHUSD | Position:   32 | close price:  1184.12 | Side:  BUY 🟢 | Profits:  -1185.32 | Quantity:    1 🤑
INFO 2022-12-19 14:56:01,779 Symbol:  ETHUSD | Position:   33 | close price:  1183.64 | Side:  BUY 🟢 | Profits:  -2368.96 | Quantity:    1 🤑
INFO 2022-12-19 14:57:04,710 Symbol:  ETHUSD | Position:   34 | close price:  1183.81 | Side:  BUY 🟢 | Profits:  -3552.77 | Quantity:    1 🤑
INFO 2022-12-19 14:58:01,752 Symbol:  ETHUSD | Position:   35 | close price:  1183.55 | Side:  BUY 🟢 | Profits:  -4736.32 | Quantity:    1 🤑
INFO 2022-12-19 14:59:01,495 Symbol:  ETHUSD | Position:   36 | close price:  1183.61 | Side:  BUY 🟢 | Profits:  -5919.93 | Quantity:    1 🤑
INFO 2022-12-19 15:00:02,341 Symbol:  ETHUSD | Position:   37 | close price:  1183.68 | Side:  BUY 🟢 | Profits:  -7103.61 | Quantity:    1 🤑
INFO 2022-12-19 15:01:02,357 Symbol:  ETHUSD | Position:   38 | close price:   1183.9 | Side:  BUY 🟢 | Profits:  -8287.51 | Quantity:    1 🤑
INFO 2022-12-19 15:02:02,424 Symbol:  ETHUSD | Position:   39 | close price:  1184.02 | Side:  BUY 🟢 | Profits:  -9471.53 | Quantity:    1 🤑
INFO 2022-12-19 15:03:00,787 Symbol:  ETHUSD | Position:   40 | close price:  1184.32 | Side:  BUY 🟢 | Profits: -10655.85 | Quantity:    1 🤑
INFO 2022-12-19 15:04:01,755 Symbol:  ETHUSD | Position:   41 | close price:  1183.79 | Side:  BUY 🟢 | Profits: -11839.64 | Quantity:    1 🤑
INFO 2022-12-19 15:05:01,174 Symbol:  ETHUSD | Position:   42 | close price:  1183.71 | Side:  BUY 🟢 | Profits: -13023.35 | Quantity:    1 🤑
