INFO 2022-09-29 17:21:01,184 Symbol:  ETHUSD | Position:    0 | close price:  1341.25 | Side:  BUY 🟢 |  Profits: -1341.25 | Quantity:   1 🤑
INFO 2022-09-29 17:22:00,466 Symbol:  ETHUSD | Position:    1 | close price:  1341.53 | Side:  BUY 🟢 |  Profits: -2682.78 | Quantity:   1 🤑
INFO 2022-09-29 17:23:00,742 Symbol:  ETHUSD | Position:    2 | close price:  1342.22 | Side:  BUY 🟢 |  Profits: -4025.00 | Quantity:   1 🤑
INFO 2022-09-29 17:24:01,138 Symbol:  ETHUSD | Position:    3 | close price:  1343.31 | Side:  BUY 🟢 |  Profits: -5368.31 | Quantity:   1 🤑
INFO 2022-09-29 17:25:00,414 Symbol:  ETHUSD | Position:    4 | close price:  1340.96 | Side:  BUY 🟢 |  Profits: -6709.27 | Quantity:   1 🤑
INFO 2022-09-29 17:26:00,704 Symbol:  ETHUSD | Position:    5 | close price:   1339.1 | Side:  BUY 🟢 |  Profits: -8048.37 | Quantity:   1 🤑
INFO 2022-09-29 17:27:01,004 Symbol:  ETHUSD | Position:    6 | close price:   1340.4 | Side:  BUY 🟢 |  Profits: -9388.77 | Quantity:   1 🤑
INFO 2022-09-29 17:28:00,450 Symbol:  ETHUSD | Position:    7 | close price:  1340.22 | Side:  BUY 🟢 |  Profits: -10728.99 | Quantity:   1 🤑
INFO 2022-09-29 17:29:00,717 Symbol:  ETHUSD | Position:    8 | close price:   1340.5 | Side:  BUY 🟢 |  Profits: -12069.49 | Quantity:   1 🤑
INFO 2022-09-29 17:30:01,103 Symbol:  ETHUSD | Position:    9 | close price:  1338.64 | Side:  BUY 🟢 |  Profits: -13408.13 | Quantity:   1 🤑
INFO 2022-09-29 17:31:00,575 Symbol:  ETHUSD | Position:   10 | close price:  1339.06 | Side:  BUY 🟢 |  Profits: -14747.19 | Quantity:   1 🤑
