INFO 2022-09-29 23:42:01,459 Symbol:  ETHUSD | Position:    0 | close price:  1337.09 | Side:  BUY 🟢 |  Profits:  -1337.09 | Quantity:   1 🤑
INFO 2022-09-29 23:43:02,293 Symbol:  ETHUSD | Position:    1 | close price:  1334.31 | Side:  BUY 🟢 |  Profits:  -2671.40 | Quantity:   1 🤑
INFO 2022-09-29 23:44:01,657 Symbol:  ETHUSD | Position:    2 | close price:  1334.31 | Side:  BUY 🟢 |  Profits:  -4005.71 | Quantity:   1 🤑
INFO 2022-09-29 23:45:02,005 Symbol:  ETHUSD | Position:    3 | close price:  1334.19 | Side:  BUY 🟢 |  Profits:  -5339.90 | Quantity:   1 🤑
INFO 2022-09-29 23:46:01,432 Symbol:  ETHUSD | Position:    4 | close price:  1334.38 | Side:  BUY 🟢 |  Profits:  -6674.28 | Quantity:   1 🤑
INFO 2022-09-30 00:18:01,154 Symbol:  ETHUSD | Position:    5 | close price:  1324.05 | Side:  BUY 🟢 |  Profits:  -7998.33 | Quantity:   1 🤑
INFO 2022-09-30 00:19:00,884 Symbol:  ETHUSD | Position:    6 | close price:  1321.81 | Side:  BUY 🟢 |  Profits:  -9320.14 | Quantity:   1 🤑
INFO 2022-09-30 00:30:01,593 Symbol:  ETHUSD | Position:    7 | close price:  1331.36 | Side:  BUY 🟢 |  Profits: -10651.50 | Quantity:   1 🤑
INFO 2022-09-30 00:31:02,042 Symbol:  ETHUSD | Position:    8 | close price:  1333.56 | Side:  BUY 🟢 |  Profits: -11985.06 | Quantity:   1 🤑
INFO 2022-09-30 00:32:00,702 Symbol:  ETHUSD | Position:    9 | close price:  1333.56 | Side:  BUY 🟢 |  Profits: -13318.62 | Quantity:   1 🤑
INFO 2022-09-30 00:33:01,366 Symbol:  ETHUSD | Position:   10 | close price:  1335.16 | Side:  BUY 🟢 |  Profits: -14653.78 | Quantity:   1 🤑
INFO 2022-09-30 00:40:01,186 Symbol:  ETHUSD | Position:   11 | close price:  1337.61 | Side: SELL 🔴 | Profits:  -1277.68 | Quantity:  10 💵
INFO 2022-09-30 00:41:01,153 Symbol:  ETHUSD | Position:    1 | close price:  1336.44 | Side:  BUY 🟢 |  Profits:  -2614.12 | Quantity:   1 🤑
INFO 2022-09-30 00:42:01,059 Symbol:  ETHUSD | Position:    2 | close price:  1336.16 | Side:  BUY 🟢 |  Profits:  -3950.28 | Quantity:   1 🤑
INFO 2022-09-30 00:43:00,861 Symbol:  ETHUSD | Position:    3 | close price:  1332.79 | Side:  BUY 🟢 |  Profits:  -5283.07 | Quantity:   1 🤑
INFO 2022-09-30 00:44:01,564 Symbol:  ETHUSD | Position:    4 | close price:  1334.62 | Side:  BUY 🟢 |  Profits:  -6617.69 | Quantity:   1 🤑
INFO 2022-09-30 00:45:01,365 Symbol:  ETHUSD | Position:    5 | close price:  1333.22 | Side:  BUY 🟢 |  Profits:  -7950.91 | Quantity:   1 🤑
INFO 2022-09-30 00:46:01,167 Symbol:  ETHUSD | Position:    6 | close price:  1333.22 | Side:  BUY 🟢 |  Profits:  -9284.13 | Quantity:   1 🤑
INFO 2022-09-30 00:47:00,865 Symbol:  ETHUSD | Position:    7 | close price:  1333.86 | Side:  BUY 🟢 |  Profits: -10617.99 | Quantity:   1 🤑
INFO 2022-09-30 00:48:01,621 Symbol:  ETHUSD | Position:    8 | close price:  1333.51 | Side:  BUY 🟢 |  Profits: -11951.50 | Quantity:   1 🤑
INFO 2022-09-30 00:49:01,242 Symbol:  ETHUSD | Position:    9 | close price:  1332.68 | Side:  BUY 🟢 |  Profits: -13284.18 | Quantity:   1 🤑
INFO 2022-09-30 00:50:00,989 Symbol:  ETHUSD | Position:   10 | close price:  1332.52 | Side:  BUY 🟢 |  Profits: -14616.70 | Quantity:   1 🤑
