INFO 2022-09-30 01:37:32,788 Symbol:  ETHUSD | Position:    0 | close price:  1340.04 | Side:  BUY 🟢 |  Profits:  -1340.04 | Quantity:    1 🤑
INFO 2022-09-30 01:38:01,772 Symbol:  ETHUSD | Position:    1 | close price:  1338.31 | Side:  BUY 🟢 |  Profits:  -2678.35 | Quantity:    1 🤑
INFO 2022-09-30 01:39:01,555 Symbol:  ETHUSD | Position:    2 | close price:  1339.03 | Side:  BUY 🟢 |  Profits:  -4017.38 | Quantity:    1 🤑
INFO 2022-09-30 01:40:01,220 Symbol:  ETHUSD | Position:    3 | close price:  1337.53 | Side:  BUY 🟢 |  Profits:  -5354.91 | Quantity:    1 🤑
INFO 2022-09-30 01:41:01,215 Symbol:  ETHUSD | Position:    4 | close price:  1337.41 | Side:  BUY 🟢 |  Profits:  -6692.32 | Quantity:    1 🤑
INFO 2022-09-30 01:42:00,942 Symbol:  ETHUSD | Position:    5 | close price:  1337.41 | Side:  BUY 🟢 |  Profits:  -8029.73 | Quantity:    1 🤑
INFO 2022-09-30 01:43:01,602 Symbol:  ETHUSD | Position:    6 | close price:   1333.9 | Side:  BUY 🟢 |  Profits:  -9363.63 | Quantity:    1 🤑
INFO 2022-09-30 01:44:01,348 Symbol:  ETHUSD | Position:    7 | close price:  1335.25 | Side:  BUY 🟢 |  Profits: -10698.88 | Quantity:    1 🤑
INFO 2022-09-30 01:45:01,062 Symbol:  ETHUSD | Position:    8 | close price:  1335.25 | Side:  BUY 🟢 |  Profits: -12034.13 | Quantity:    1 🤑
INFO 2022-09-30 01:46:00,689 Symbol:  ETHUSD | Position:    9 | close price:  1334.14 | Side:  BUY 🟢 |  Profits: -13368.27 | Quantity:    1 🤑
INFO 2022-09-30 01:47:01,319 Symbol:  ETHUSD | Position:   10 | close price:  1334.78 | Side:  BUY 🟢 |  Profits: -14703.05 | Quantity:    1 🤑
