INFO 2022-10-04 03:46:01,532 Symbol:  ETHUSD | Position:    0 | close price:  1319.31 | Side:  BUY \U0001f7e2 | Profits:  -1319.31 | Quantity:    1 \U0001f911
INFO 2022-10-04 04:09:01,928 Symbol:  ETHUSD | Position:    1 | close price:  1321.36 | Side:  BUY \U0001f7e2 | Profits:  -2640.67 | Quantity:    1 \U0001f911
INFO 2022-10-04 04:10:01,815 Symbol:  ETHUSD | Position:    2 | close price:  1320.62 | Side:  BUY \U0001f7e2 | Profits:  -3961.29 | Quantity:    1 \U0001f911
INFO 2022-10-04 04:11:01,760 Symbol:  ETHUSD | Position:    3 | close price:  1319.03 | Side:  BUY \U0001f7e2 | Profits:  -5280.32 | Quantity:    1 \U0001f911
INFO 2022-10-04 04:12:01,618 Symbol:  ETHUSD | Position:    4 | close price:  1319.27 | Side:  BUY \U0001f7e2 | Profits:  -6599.59 | Quantity:    1 \U0001f911
INFO 2022-10-04 04:13:01,435 Symbol:  ETHUSD | Position:    5 | close price:  1319.62 | Side:  BUY \U0001f7e2 | Profits:  -7919.21 | Quantity:    1 \U0001f911
INFO 2022-10-04 04:14:01,289 Symbol:  ETHUSD | Position:    6 | close price:  1319.94 | Side:  BUY \U0001f7e2 | Profits:  -9239.15 | Quantity:    1 \U0001f911
INFO 2022-10-04 04:15:01,234 Symbol:  ETHUSD | Position:    7 | close price:  1320.12 | Side:  BUY \U0001f7e2 | Profits: -10559.27 | Quantity:    1 \U0001f911
INFO 2022-10-04 04:16:01,050 Symbol:  ETHUSD | Position:    8 | close price:  1320.24 | Side:  BUY \U0001f7e2 | Profits: -11879.51 | Quantity:    1 \U0001f911
INFO 2022-10-04 04:17:00,921 Symbol:  ETHUSD | Position:    9 | close price:  1318.93 | Side:  BUY \U0001f7e2 | Profits: -13198.44 | Quantity:    1 \U0001f911
INFO 2022-10-04 04:18:01,862 Symbol:  ETHUSD | Position:   10 | close price:  1318.66 | Side:  BUY \U0001f7e2 | Profits: -14517.10 | Quantity:    1 \U0001f911
INFO 2022-10-04 04:22:01,653 Symbol:  ETHUSD | Position:   11 | close price:  1316.55 | Side: SELL \U0001f534 | Profits: -13200.55 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 04:23:02,010 Symbol:  ETHUSD | Position:   10 | close price:  1316.36 | Side: SELL \U0001f534 | Profits: -11884.19 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 04:24:00,897 Symbol:  ETHUSD | Position:    9 | close price:  1317.14 | Side: SELL \U0001f534 | Profits: -10567.05 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 04:25:02,325 Symbol:  ETHUSD | Position:    8 | close price:  1317.37 | Side: SELL \U0001f534 | Profits:  -9249.68 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 04:26:01,221 Symbol:  ETHUSD | Position:    7 | close price:   1316.9 | Side: SELL \U0001f534 | Profits:  -7932.78 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 04:27:01,037 Symbol:  ETHUSD | Position:    6 | close price:   1317.9 | Side: SELL \U0001f534 | Profits:  -6614.88 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 04:28:00,909 Symbol:  ETHUSD | Position:    5 | close price:  1318.37 | Side: SELL \U0001f534 | Profits:  -5296.51 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 04:29:01,850 Symbol:  ETHUSD | Position:    4 | close price:  1317.97 | Side: SELL \U0001f534 | Profits:  -3978.54 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 04:30:01,757 Symbol:  ETHUSD | Position:    3 | close price:  1317.47 | Side: SELL \U0001f534 | Profits:  -2661.07 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 04:31:01,614 Symbol:  ETHUSD | Position:    2 | close price:  1316.87 | Side: SELL \U0001f534 | Profits:  -1344.20 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 05:05:01,520 Symbol:  ETHUSD | Position:    1 | close price:  1319.47 | Side:  BUY \U0001f7e2 | Profits:  -2663.67 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:06:01,518 Symbol:  ETHUSD | Position:    2 | close price:  1319.53 | Side:  BUY \U0001f7e2 | Profits:  -3983.20 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:07:01,433 Symbol:  ETHUSD | Position:    3 | close price:  1319.01 | Side:  BUY \U0001f7e2 | Profits:  -5302.21 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:08:01,366 Symbol:  ETHUSD | Position:    4 | close price:  1318.68 | Side:  BUY \U0001f7e2 | Profits:  -6620.89 | Quantity:    1 \U0001f911
